1761955200000000,109608.01000000,110564.49000000,109394.81000000,110098.10000000,7378.50431000,1762041599999999,812389216.43467980,1994214,3406.68401000,375126956.08097220,0
1762041600000000,110098.10000000,111250.01000000,109471.34000000,110540.68000000,12107.00087000,1762127999999999,1336870531.14150130,2652188,5921.86453000,654016950.25497770,0
1762128000000000,110540.69000000,110750.00000000,105306.56000000,106583.04000000,28681.18779000,1762214399999999,3076006652.00156760,7074546,12847.08574000,1377869106.66817760,0
1762214400000000,106583.05000000,107299.00000000,98944.36000000,101497.22000000,50534.87376000,1762300799999999,5197697635.21241310,9099609,23388.99033000,2406186713.17052980,0
1762300800000000,101497.23000000,104534.74000000,98966.80000000,103885.16000000,33778.77571000,1762387199999999,3454273922.70038500,6500368,18126.84828000,1854232277.03301110,0
1762387200000000,103885.16000000,104200.00000000,100300.95000000,101346.04000000,25814.62139000,1762473599999999,2641767846.30582700,5755001,11972.54796000,1225474173.02042840,0
1762473600000000,101346.04000000,104096.36000000,99260.86000000,103339.08000000,32059.50942000,1762559999999999,3251112979.30588400,6335759,16056.80582000,1629564159.11657990,0
1762560000000000,103339.09000000,103406.22000000,101454.00000000,102312.94000000,12390.77985000,1762646399999999,1267165565.37527010,2743819,5862.65977000,599611355.36714670,0
1762646400000000,102312.95000000,105495.62000000,101400.00000000,104722.96000000,16338.97096000,1762732799999999,1687020822.36682080,3404204,8224.94939000,849620657.08690970,0
1762732800000000,104722.95000000,106670.11000000,104265.02000000,106011.13000000,22682.25673000,1762819199999999,2400141664.38934170,4710957,11595.81944000,1226965888.74676980,0
1762819200000000,106011.13000000,107500.00000000,102476.09000000,103058.99000000,24196.50718000,1762905599999999,2532279071.00692150,5532149,10717.03395000,1121890584.19977650,0
1762905600000000,103059.00000000,105333.33000000,100813.59000000,101654.37000000,20457.63906000,1762991999999999,2108514405.26087720,5314132,10155.72095000,1047214063.13828700,0
1762992000000000,101654.37000000,104085.01000000,98000.40000000,99692.02000000,36198.50771000,1763078399999999,3654698026.54038050,8125404,17250.22426000,1742449117.57636070,0
1763078400000000,99692.03000000,99866.02000000,94012.45000000,94594.00000000,47288.14481000,1763164799999999,4566085156.74720680,9551025,21184.91518000,2045542286.86348350,0
1763164800000000,94594.00000000,96846.68000000,94558.49000000,95596.24000000,15110.89391000,1763251199999999,1449074019.06748560,4263558,7115.78198000,682358960.75404210,0
1763251200000000,95596.23000000,96635.11000000,93005.55000000,94261.44000000,23889.40510000,1763337599999999,2261295524.81733930,5141394,10828.62752000,1025540141.31118660,0
1763337600000000,94261.45000000,96043.00000000,91220.00000000,92215.14000000,39218.59806000,1763423999999999,3674562070.23860600,8134322,18690.19245000,1750979467.78626070,0
1763424000000000,92215.14000000,93836.01000000,89253.78000000,92960.83000000,39835.14769000,1763510399999999,3641033186.30045840,8786593,20130.95957000,1841176605.14182350,0
1763510400000000,92960.83000000,92980.22000000,88608.00000000,91554.96000000,32286.63760000,1763596799999999,2925773651.25595790,6822174,15060.08451000,1365200809.17455710,0
1763596800000000,91554.96000000,93160.00000000,86100.00000000,86637.23000000,39733.19073000,1763683199999999,3548950335.09842180,7841395,18283.84047000,1634256490.95743210,0
1763683200000000,86637.22000000,87498.94000000,80600.00000000,85129.43000000,72256.12679000,1763769599999999,6061348756.34156410,11826480,34071.85828000,2859133223.22405230,0
1763769600000000,85129.42000000,85620.00000000,83500.00000000,84739.74000000,14193.93263000,1763855999999999,1197657354.96903850,4697593,6688.79428000,564562148.93739320,0
1763856000000000,84739.75000000,88127.64000000,84667.57000000,86830.00000000,19734.46418000,1763942399999999,1708685030.27986950,5063493,10406.51703000,901210513.52044730,0
1763942400000000,86830.00000000,89228.00000000,85272.00000000,88300.01000000,24663.12795000,1764028799999999,2150393686.92031830,6189156,12438.87518000,1085485389.02341670,0
1764028800000000,88300.01000000,88519.99000000,86116.00000000,87369.96000000,19567.04110000,1764115199999999,1708989000.03893710,4838747,9423.17985000,823123525.14025590,0
1764115200000000,87369.97000000,90656.08000000,86306.77000000,90484.02000000,21675.82239000,1764201599999999,1916851896.66996890,4668280,10883.61063000,962765375.81638320,0
1764201600000000,90484.01000000,91950.00000000,90089.91000000,91333.95000000,16833.50932000,1764287999999999,1535778106.57870780,3920172,8898.35835000,812005498.75948750,0
1764288000000000,91333.94000000,93092.00000000,90180.63000000,90890.70000000,18830.86012000,1764374399999999,1721418035.07955960,4229754,8961.64712000,820315728.91869100,0
1764374400000000,90890.71000000,91165.65000000,90155.47000000,90802.44000000,7429.88291000,1764460799999999,673725652.97876550,1677860,3359.04932000,304614219.14525830,0
1764460800000000,90802.44000000,92000.01000000,90336.90000000,90360.00000000,9687.74175000,1764547199999999,884051773.16553380,2154030,5002.96698000,456606490.12032460,0
