open_time,aapl_close,aapl_high,aapl_low,aapl_open,aapl_volume,aapl_log_return,aapl_high_low_ratio,aapl_close_open_ratio,aapl_RSI14,aapl_MOM10,aapl_ROC10,aapl_SMA5,aapl_SMA20,aapl_SMA50,aapl_EMA12,aapl_EMA26,aapl_MACD,aapl_MACD_signal,aapl_ATR14,aapl_volatility20,aapl_volume_log1p,aapl_volume_MA20,nvda_close,nvda_high,nvda_low,nvda_open,nvda_volume,nvda_log_return,nvda_high_low_ratio,nvda_close_open_ratio,nvda_RSI14,nvda_MOM10,nvda_ROC10,nvda_SMA5,nvda_SMA20,nvda_SMA50,nvda_EMA12,nvda_EMA26,nvda_MACD,nvda_MACD_signal,nvda_ATR14,nvda_volatility20,nvda_volume_log1p,nvda_volume_MA20,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_log_return,btc_high_low_ratio,btc_close_open_ratio,btc_RSI14,btc_MOM10,btc_ROC10,btc_SMA5,btc_SMA20,btc_SMA50,btc_EMA12,btc_EMA26,btc_MACD,btc_MACD_signal,btc_ATR14,btc_volatility20,btc_volume_log1p,btc_volume_MA20,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_log_return,eth_high_low_ratio,eth_close_open_ratio,eth_RSI14,eth_MOM10,eth_ROC10,eth_SMA5,eth_SMA20,eth_SMA50,eth_EMA12,eth_EMA26,eth_MACD,eth_MACD_signal,eth_ATR14,eth_volatility20,eth_volume_log1p,eth_volume_MA20,is_holiday
2017-10-26,36.73210144,36.83010929,36.58508789,36.69009604,68002000.0,0.0063733,1.006697302,1.00114487,51.61600809,0.329040527,0.903881484,36.55894928,36.4881237,36.81623993,36.62139173,36.63632172,-0.014929987,-0.061470422,0.486143392,0.008375111,18.03504769,81077860.0,4.834688663,4.846300162,4.788241725,4.812206434,322744000.0,0.010427808,1.01212521,1.004671917,65.12686889,0.115129948,2.439421874,4.850006104,4.698521852,4.404171743,4.795716984,4.647635412,0.148081572,0.158850762,0.108010149,0.011008425,19.59237,527680000.0,5670.1,5939.99,5650.0,5861.77,1972.965882,0.029743115,1.051325664,1.033803637,63.28810634,101.75,1.766486922,5778.948,5479.755,4614.6552,5668.860944,5306.109455,362.751489,390.8689823,353.6213018,0.040241927,7.587799936,1476.825518,294.1,299.76,291.03,294.71,7813.02717,0.000746775,1.029996908,1.002074124,45.58914532,-40.48,-12.0767326,292.292,308.874,295.591,301.0122481,303.3601593,-2.347911245,0.890477796,20.94948491,0.035547957,8.963675753,8406.255205,0
2017-10-27,38.04821014,38.17655502,37.0331231,37.17080052,177816800.0,0.035202972,1.030875925,1.023604808,65.87716502,1.41411972,3.860119643,36.87631149,36.59231586,36.84046204,36.84090226,36.74090605,0.09999621,-0.029177096,0.554594119,0.011282967,18.99626437,84708740.0,4.987122536,4.987369458,4.860875264,4.886816762,572192000.0,0.031042363,1.026022925,1.02052579,72.01512954,0.179611683,3.736064013,4.874514198,4.727044725,4.424199333,4.825163992,4.672782607,0.152381385,0.157556887,0.111200909,0.012152785,20.16498516,525335000.0,5861.77,5980.0,5649.24,5768.83,1403.706416,-0.015982319,1.058549469,0.984144721,60.63547513,173.83,3.106881144,5742.71,5547.0465,4636.1996,5684.240799,5340.385051,343.8557479,381.4663354,351.9883516,0.040823256,7.247583603,1532.130964,294.72,298.1,292.03,296.33,6272.14802,0.005481876,1.020785536,1.005462812,46.43266908,-18.86,-5.983692376,292.8,308.14,294.8278,300.2919022,302.8394068,-2.54750456,0.202881325,19.88666456,0.035587903,8.744033584,8611.573068,0
2017-10-28,38.04821014,38.17655502,37.0331231,37.17080052,177816800.0,0.035202972,1.030875925,1.023604808,65.87716502,1.41411972,3.860119643,36.87631149,36.59231586,36.84046204,36.84090226,36.74090605,0.09999621,-0.029177096,0.554594119,0.011282967,18.99626437,84708740.0,4.987122536,4.987369458,4.860875264,4.886816762,572192000.0,0.031042363,1.026022925,1.02052579,72.01512954,0.179611683,3.736064013,4.874514198,4.727044725,4.424199333,4.825163992,4.672782607,0.152381385,0.157556887,0.111200909,0.012152785,20.16498516,525335000.0,5768.79,5850.02,5630.03,5719.64,1276.754412,-0.008563421,1.039074392,0.991480016,59.22070086,207.58,3.765924174,5703.452,5601.0285,4664.9364,5689.68683,5368.47801,321.2088196,369.4148323,342.5598979,0.04025183,7.152859451,1570.045584,296.14,297.0,290.1,291.87,5848.86589,-0.015165201,1.023784902,0.985581144,44.39223167,-17.83,-5.757184372,294.956,307.18,294.6054,298.9962249,302.0268581,-3.030633173,-0.443821575,18.95904566,0.035694148,8.674174015,8755.969763,1
2017-10-29,38.04821014,38.17655502,37.0331231,37.17080052,177816800.0,0.035202972,1.030875925,1.023604808,65.87716502,1.41411972,3.860119643,36.87631149,36.59231586,36.84046204,36.84090226,36.74090605,0.09999621,-0.029177096,0.554594119,0.011282967,18.99626437,84708740.0,4.987122536,4.987369458,4.860875264,4.886816762,572192000.0,0.031042363,1.026022925,1.02052579,72.01512954,0.179611683,3.736064013,4.874514198,4.727044725,4.424199333,4.825163992,4.672782607,0.152381385,0.157556887,0.111200909,0.012152785,20.16498516,525335000.0,5709.98,6189.88,5648.01,6169.98,1804.778173,0.07578973,1.095939986,1.080560702,66.84725342,486.08,8.551874593,5842.042,5670.18,4703.1598,5763.578087,5427.848528,335.7295588,362.6777776,356.7963338,0.042626414,7.498746899,1627.961335,291.86,309.4,291.86,305.0,9019.13315,0.044003279,1.060097307,1.045021586,51.1921522,-3.66,-1.185770751,296.48,307.5705,294.7706,299.9198826,302.2470908,-2.327208204,-0.820498901,18.85768526,0.035710367,9.107214375,8962.657489,1
2017-10-30,38.90460587,39.21963379,38.20454698,38.24421656,178803200.0,0.022258603,1.02656979,1.017267691,71.7186204,1.596122742,4.278176458,37.36868439,36.74294529,36.88349251,37.15839512,36.90118011,0.257215012,0.028101326,0.598653371,0.012017574,19.00179632,89909140.0,5.036040783,5.09162857,4.971311198,4.98712321,504056000.0,0.009761117,1.024202342,1.009808776,73.80341714,0.146013737,2.985949471,4.910189438,4.757729316,4.445190454,4.857606575,4.69969062,0.157915956,0.157628701,0.111852085,0.012124785,20.03819793,525363800.0,6133.01,6248.68,6030.0,6120.5,1473.687043,-0.008051804,1.03626534,0.997960219,65.40001459,110.49,1.838432881,5928.144,5737.052,4742.9624,5818.48915,5479.156044,339.333106,358.0088433,346.9308814,0.042777568,7.296201072,1649.484599,305.0,316.0,302.1,307.25,8946.12026,0.007349972,1.046011255,1.007377049,52.26928387,2.74,0.899806246,299.032,308.001,295.0456,301.047593,302.6176767,-1.570083705,-0.970415861,18.50356488,0.035727742,9.099087001,9072.499768,0
2017-10-31,39.44599152,39.588337,38.95595233,39.17996923,144187200.0,0.013819787,1.016233326,1.006789752,74.67062705,1.999835968,5.340564175,37.92593002,36.91282635,36.93870392,37.51033303,37.08968466,0.42064837,0.106610735,0.604730354,0.012215767,18.78662302,93872440.0,5.109416962,5.136099232,5.06222879,5.067911313,411908000.0,0.014465086,1.014592474,1.008189892,76.2545321,0.223835945,4.581562446,4.95036087,4.791625738,4.468809242,4.896346635,4.730040719,0.166305916,0.159364144,0.111009683,0.01220298,19.83631058,526442600.0,6120.52,6498.01,6100.0,6463.0,1511.774925,0.054449814,1.065247541,1.05595603,70.20808317,438.03,7.270243669,6048.39,5819.1305,4788.053,5917.644666,5552.033374,365.6112912,359.5293329,350.5793899,0.043779336,7.321700942,1687.401875,305.95,309.99,304.01,304.9,7640.41182,-0.007677894,1.019670406,0.996568067,51.00324519,5.96,1.993711113,301.07,308.0455,295.1976,301.640271,302.7867377,-1.14646669,-1.005626027,17.60902453,0.035566291,8.941337658,9268.286044,0
2017-11-01,38.94428253,39.6560099,38.64559097,39.63967348,134551200.0,-0.012800461,1.026145775,0.982457198,67.62596686,1.663814545,4.462965822,38.4150383,37.0692894,36.97188667,37.73094064,37.22706228,0.503878366,0.186064261,0.633708109,0.012590228,18.71745536,96567240.0,5.119053364,5.187488693,5.05481808,5.172170994,502576000.0,0.001884232,1.026246368,0.989730109,76.56465575,0.237669468,4.868895235,5.017264462,4.824151063,4.490871572,4.930609208,4.758856471,0.171752738,0.161841863,0.112556892,0.012254296,20.03525743,530179000.0,6463.0,6774.67,6338.02,6753.98,1675.615188,0.044038354,1.068893755,1.045022435,73.56857307,803.96,13.51188736,6245.42,5885.3295,4839.8582,6046.31164,5641.066458,405.2451824,368.6725028,356.7272906,0.037090454,7.424532271,1707.347561,304.89,305.9,286.34,287.01,9843.1666,-0.060466796,1.0683104,0.941355899,42.55318732,-6.78,-2.307770857,299.206,307.1965,295.0586,299.3894601,301.6180905,-2.228630377,-1.250226897,17.74837992,0.038062091,9.194634335,9369.056576,0
2017-11-02,39.22897339,39.31998092,38.56858396,38.87661164,165573600.0,0.007283619,1.019482099,1.009063592,69.39066516,2.830581665,7.776666855,38.91441269,37.21770229,37.00983017,37.96140722,37.37535199,0.586055231,0.266062455,0.642114455,0.012467117,18.92492637,100589160.0,5.087922573,5.134122579,5.031346156,5.089405052,342308000.0,-0.006099924,1.020427222,0.999708713,73.23695438,0.201105595,4.115267576,5.067911243,4.855243349,4.510705414,4.954811265,4.783231737,0.171579527,0.163789395,0.111858287,0.01248987,19.65122148,525426200.0,6753.98,7300.0,6685.1,7019.98,2503.610803,0.038628408,1.091980673,1.039384185,76.21034583,1104.05,18.66232359,6505.488,5953.8295,4901.364,6196.106772,5743.208202,452.8985708,385.5177164,375.1681984,0.037046897,7.825888633,1738.53672,287.3,293.0,274.73,283.12,13423.8572,-0.013646222,1.066501656,0.985450748,40.96395391,2.03,0.722188623,297.456,304.4545,295.1828,296.8864662,300.2478615,-3.361395313,-1.67246058,17.7856385,0.028179815,9.504863282,9143.981144,0
2017-11-03,40.25338745,40.6640874,39.93135921,40.60341691,237594400.0,0.02577857,1.018349693,0.99137931,74.72876632,3.791988373,10.40000787,39.35544815,37.41838531,37.07157524,38.31401956,37.5885398,0.725479762,0.357945916,0.698757281,0.013328307,19.28607558,108987360.0,5.155863285,5.155863285,5.073098921,5.11905153,353640000.0,0.013264961,1.01631436,1.007191128,75.71743167,0.291281223,5.987795449,5.101659393,4.88907795,4.532199488,4.985742345,4.810834074,0.17490827,0.16601317,0.10978015,0.012547235,19.68379001,527168200.0,7010.31,7346.34,6923.0,7115.04,1891.497592,0.013450484,1.061149791,1.014939425,77.09153997,1638.01,29.9069021,6694.5,6016.082,4979.8844,6337.481115,5844.825372,492.6557433,406.9453217,378.6090414,0.036494634,7.545652713,1784.573647,283.12,307.0,282.0,304.08,8194.03465,0.071419989,1.088652482,1.074032212,51.47901022,6.7,2.253009617,297.272,302.5585,296.9602,297.9931637,300.5317236,-2.538559917,-1.845680448,18.30095003,0.033185641,9.011283719,9167.084642,0
2017-11-04,40.25338745,40.6640874,39.93135921,40.60341691,237594400.0,0.02577857,1.018349693,0.99137931,74.72876632,3.791988373,10.40000787,39.35544815,37.41838531,37.07157524,38.31401956,37.5885398,0.725479762,0.357945916,0.698757281,0.013328307,19.28607558,108987360.0,5.155863285,5.155863285,5.073098921,5.11905153,353640000.0,0.013264961,1.01631436,1.007191128,75.71743167,0.291281223,5.987795449,5.101659393,4.88907795,4.532199488,4.985742345,4.810834074,0.17490827,0.16601317,0.10978015,0.012547235,19.68379001,527168200.0,7115.02,7480.99,6901.0,7357.09,1399.191767,0.033453621,1.084044341,1.034022392,79.20385314,1667.1,29.29882126,6941.818,6098.437,5053.0262,6494.34402,5956.844974,537.4990465,433.0560667,392.9933956,0.035761658,7.244364483,1787.357067,304.09,304.99,292.11,298.04,7828.41744,-0.020063119,1.044092979,0.980104574,48.78257845,3.55,1.20547387,295.43,300.5625,297.861,298.0003693,300.3471515,-2.346782215,-1.945900801,17.91373932,0.033313733,8.965643385,9057.93816,1
